stroke_rate,drag_coefficient,turn_time_ms,pool_length_m,lap_time_seconds
101.3,0.1,1571.5,49,71.98
124.6,0.1,1729.1,37,65.18
92.1,0.1,773.4,31,47.14
136.7,0.1,722.7,25,56.77
115.2,0.0,995.9,29,60.74
119.1,0.1,1499.8,40,68.04
126.1,0.1,1333.8,45,71.07
142.1,0.0,1055.7,48,77.63
93.5,0.1,815.2,47,56.89
133.4,0.1,1483.1,42,74.0
94.6,0.0,1464.8,41,67.08
66.5,0.1,1772.5,44,62.18
128.6,0.1,1452.7,39,69.81
145.5,0.1,1191.6,25,62.48
159.6,0.0,1766.7,27,75.11
59.2,0.0,1372.4,26,54.6
148.7,0.1,1085.5,32,69.2
114.4,0.1,899.9,30,51.94
157.5,0.1,1001.4,29,55.97
95.6,0.1,1740.7,47,73.52
